namn,weekday,weeks_with_delivery,total_weeks,frequency,is_delivery_day,demand_sum,demand_ratio
Coop farsta strand,Thursday,1,2,0.5,True,115,0.37216828478964403
Coop grindsgatan,Sunday,1,1,1.0,True,37,1.0
Coop hagaström,Sunday,1,2,0.5,True,37,0.5362318840579711
Coop hagaström,Thursday,1,2,0.5,True,32,0.463768115942029
Coop haningeterassen,Wednesday,1,2,0.5,True,40,0.4444444444444444
Coop haningeterassen,Friday,2,2,1.0,True,50,0.5555555555555556
Coop lindingö centrum,Sunday,1,2,0.5,True,196,0.4827586206896552
Coop lindingö centrum,Tuesday,1,2,0.5,True,105,0.25862068965517243
Coop lindingö centrum,Thursday,1,2,0.5,True,105,0.25862068965517243
Coop rönninge,Sunday,1,2,0.5,True,52,0.3939393939393939
Coop rönninge,Tuesday,1,2,0.5,True,34,0.25757575757575757
Coop rönninge,Thursday,1,2,0.5,True,46,0.3484848484848485
Coop västra skogen,Monday,1,2,0.5,True,137,0.5905172413793104
Coop västra skogen,Wednesday,1,2,0.5,True,43,0.1853448275862069
Coop västra skogen,Friday,2,2,1.0,True,52,0.22413793103448276
Coop Älvkarleby,Sunday,1,2,0.5,True,61,0.6161616161616161
Coop Älvkarleby,Tuesday,1,2,0.5,True,38,0.3838383838383838
Coop Älvsjötorg,Sunday,1,2,0.5,True,132,0.4520547945205479
Coop Älvsjötorg,Tuesday,1,2,0.5,True,67,0.22945205479452055
Coop Älvsjötorg,Thursday,1,2,0.5,True,93,0.3184931506849315
Coop Österbybruk,Tuesday,1,1,1.0,True,37,0.7115384615384616
Coop Österbybruk,Thursday,1,1,1.0,True,15,0.28846153846153844
Dressinen,Sunday,1,1,1.0,True,27,1.0
Drottningskiosken,Tuesday,1,2,0.5,True,82,0.5030674846625767
Drottningskiosken,Thursday,1,2,0.5,True,81,0.49693251533742333
Flogsta Närlivs,Sunday,1,1,1.0,True,39,1.0
Handlarn Uppsala,Sunday,1,1,1.0,True,9,1.0
Hemköp City Västerås,Sunday,1,2,0.5,True,61,0.6224489795918368
Hemköp City Västerås,Tuesday,1,2,0.5,True,4,0.04081632653061224
Hemköp City Västerås,Thursday,1,2,0.5,True,33,0.336734693877551
Hemköp Malmaberg,Sunday,1,2,0.5,True,138,0.45098039215686275
Hemköp Malmaberg,Tuesday,1,2,0.5,True,51,0.16666666666666666
Hemköp Malmaberg,Thursday,1,2,0.5,True,117,0.38235294117647056
Hemköp Matpressen,Sunday,1,2,0.5,True,114,0.42066420664206644
Hemköp Matpressen,Tuesday,1,2,0.5,True,59,0.2177121771217712
Hemköp Matpressen,Thursday,1,2,0.5,True,98,0.36162361623616235
Hemköp Scandinavia,Sunday,1,2,0.5,True,55,0.5
Hemköp Scandinavia,Thursday,1,2,0.5,True,55,0.5
Hemköp Tyresö Krusboda,Monday,1,2,0.5,True,47,0.5164835164835165
Hemköp Tyresö Krusboda,Wednesday,1,2,0.5,True,44,0.4835164835164835
Hemköp Tyresö granängsringen,Monday,1,2,0.5,True,84,0.5153374233128835
Hemköp Tyresö granängsringen,Wednesday,1,2,0.5,True,51,0.3128834355828221
Hemköp Tyresö granängsringen,Friday,2,2,1.0,True,28,0.17177914110429449
Hemköp Ulriksdal,Sunday,1,2,0.5,True,110,0.5555555555555556
Hemköp Ulriksdal,Thursday,1,2,0.5,True,88,0.4444444444444444
Hemköp Vega,Monday,1,2,0.5,True,67,0.5447154471544715
Hemköp Vega,Wednesday,1,2,0.5,True,56,0.45528455284552843
Hemköp blackeberg,Sunday,1,2,0.5,True,24,0.1411764705882353
Hemköp blackeberg,Tuesday,1,2,0.5,True,62,0.36470588235294116
Hemköp blackeberg,Thursday,1,2,0.5,True,84,0.49411764705882355
ICA Blecktornet,Sunday,1,2,0.5,True,80,0.42105263157894735
ICA Blecktornet,Tuesday,1,2,0.5,True,46,0.24210526315789474
ICA Blecktornet,Thursday,1,2,0.5,True,64,0.3368421052631579
ICA Bomhus,Sunday,1,2,0.5,True,33,0.4177215189873418
ICA Bomhus,Tuesday,1,2,0.5,True,30,0.379746835443038
ICA Bomhus,Thursday,1,2,0.5,True,16,0.20253164556962025
ICA Bromma,Sunday,1,2,0.5,True,87,0.30526315789473685
ICA Bromma,Tuesday,1,2,0.5,True,107,0.37543859649122807
ICA Bromma,Thursday,1,2,0.5,True,91,0.3192982456140351
ICA Dalastan,Sunday,1,2,0.5,True,64,0.5714285714285714
ICA Dalastan,Thursday,1,2,0.5,True,48,0.42857142857142855
ICA Essingen,Tuesday,1,1,1.0,True,34,0.3063063063063063
ICA Essingen,Thursday,1,1,1.0,True,77,0.6936936936936937
ICA Ettan,Sunday,1,2,0.5,True,115,0.46747967479674796
ICA Ettan,Tuesday,1,2,0.5,True,43,0.17479674796747968
ICA Ettan,Thursday,1,2,0.5,True,88,0.35772357723577236
ICA Fridhemsplan,Sunday,1,2,0.5,True,75,0.373134328358209
ICA Fridhemsplan,Tuesday,1,2,0.5,True,66,0.3283582089552239
ICA Fridhemsplan,Thursday,1,2,0.5,True,60,0.29850746268656714
ICA Glädjen,Sunday,1,2,0.5,True,102,0.40963855421686746
ICA Glädjen,Tuesday,1,2,0.5,True,78,0.3132530120481928
ICA Glädjen,Thursday,1,2,0.5,True,69,0.27710843373493976
ICA Gribbylund,Sunday,1,2,0.5,True,57,0.3630573248407643
ICA Gribbylund,Tuesday,1,2,0.5,True,48,0.3057324840764331
ICA Gribbylund,Thursday,1,2,0.5,True,52,0.33121019108280253
ICA Grytan,Sunday,1,2,0.5,True,96,0.3609022556390977
ICA Grytan,Tuesday,1,2,0.5,True,44,0.16541353383458646
ICA Grytan,Thursday,1,2,0.5,True,126,0.47368421052631576
ICA Hagsätra,Sunday,1,2,0.5,True,81,0.42857142857142855
ICA Hagsätra,Tuesday,1,2,0.5,True,42,0.2222222222222222
ICA Hagsätra,Thursday,1,2,0.5,True,66,0.3492063492063492
ICA Högalid,Sunday,1,2,0.5,True,93,0.3780487804878049
ICA Högalid,Tuesday,1,2,0.5,True,72,0.2926829268292683
ICA Högalid,Thursday,1,2,0.5,True,81,0.32926829268292684
ICA Hökåsen,Sunday,1,2,0.5,True,23,0.30666666666666664
ICA Hökåsen,Tuesday,1,2,0.5,True,19,0.25333333333333335
ICA Hökåsen,Thursday,1,2,0.5,True,33,0.44
ICA Hörnan,Sunday,1,2,0.5,True,94,0.4017094017094017
ICA Hörnan,Tuesday,1,2,0.5,True,43,0.18376068376068377
ICA Hörnan,Thursday,1,2,0.5,True,97,0.41452991452991456
ICA MAXI Solna,Sunday,1,2,0.5,True,127,0.3944099378881988
ICA MAXI Solna,Tuesday,1,2,0.5,True,78,0.2422360248447205
ICA MAXI Solna,Thursday,1,2,0.5,True,117,0.36335403726708076
ICA Mathörnan,Sunday,1,2,0.5,True,69,0.5702479338842975
ICA Mathörnan,Thursday,1,2,0.5,True,52,0.4297520661157025
ICA Myran Danderyd,Sunday,1,2,0.5,True,60,0.625
ICA Myran Danderyd,Thursday,1,2,0.5,True,36,0.375
ICA Norrviken,Sunday,1,2,0.5,True,95,0.5135135135135135
ICA Norrviken,Thursday,1,2,0.5,True,90,0.4864864864864865
ICA Nära Gärdet,Sunday,1,2,0.5,True,114,0.3838383838383838
ICA Nära Gärdet,Tuesday,1,2,0.5,True,91,0.3063973063973064
ICA Nära Gärdet,Thursday,1,2,0.5,True,92,0.30976430976430974
ICA Nära Lindholmen,Sunday,1,2,0.5,True,49,0.3288590604026846
ICA Nära Lindholmen,Tuesday,1,2,0.5,True,49,0.3288590604026846
ICA Nära Lindholmen,Thursday,1,2,0.5,True,51,0.3422818791946309
ICA Nära Roslagstull,Sunday,1,2,0.5,True,59,0.3597560975609756
ICA Nära Roslagstull,Tuesday,1,2,0.5,True,54,0.32926829268292684
ICA Nära Roslagstull,Thursday,1,2,0.5,True,51,0.31097560975609756
ICA Nära Stuvsta,Sunday,1,2,0.5,True,55,0.5238095238095238
ICA Nära Stuvsta,Tuesday,1,2,0.5,True,26,0.24761904761904763
ICA Nära Stuvsta,Thursday,1,2,0.5,True,24,0.22857142857142856
ICA Nära Söderhöjden,Sunday,1,2,0.5,True,55,0.3548387096774194
ICA Nära Söderhöjden,Tuesday,1,2,0.5,True,45,0.2903225806451613
ICA Nära Söderhöjden,Thursday,1,2,0.5,True,55,0.3548387096774194
ICA Nära Årsta,Sunday,1,2,0.5,True,35,0.2845528455284553
ICA Nära Årsta,Tuesday,1,2,0.5,True,59,0.4796747967479675
ICA Nära Årsta,Thursday,1,2,0.5,True,29,0.23577235772357724
ICA RAPID,Sunday,1,2,0.5,True,61,0.2975609756097561
ICA RAPID,Tuesday,1,2,0.5,True,51,0.24878048780487805
ICA RAPID,Thursday,1,2,0.5,True,93,0.45365853658536587
ICA Råby,Sunday,1,2,0.5,True,58,0.4496124031007752
ICA Råby,Tuesday,1,2,0.5,True,14,0.10852713178294573
ICA Råby,Thursday,1,2,0.5,True,57,0.4418604651162791
ICA Rökubbsgatan,Sunday,1,2,0.5,True,87,0.3346153846153846
ICA Rökubbsgatan,Tuesday,1,2,0.5,True,82,0.3153846153846154
ICA Rökubbsgatan,Thursday,1,2,0.5,True,91,0.35
ICA SAMköp,Sunday,1,2,0.5,True,35,0.15765765765765766
ICA SAMköp,Tuesday,1,2,0.5,True,115,0.5180180180180181
ICA SAMköp,Thursday,1,2,0.5,True,72,0.32432432432432434
ICA SKiljebo,Sunday,1,2,0.5,True,64,0.4444444444444444
ICA SKiljebo,Tuesday,1,2,0.5,True,21,0.14583333333333334
ICA SKiljebo,Thursday,1,2,0.5,True,59,0.4097222222222222
ICA Sigma,Sunday,1,2,0.5,True,60,0.4411764705882353
ICA Sigma,Thursday,1,2,0.5,True,76,0.5588235294117647
ICA Skogsbacken,Sunday,1,2,0.5,True,72,0.45
ICA Skogsbacken,Tuesday,1,2,0.5,True,20,0.125
ICA Skogsbacken,Thursday,1,2,0.5,True,68,0.425
ICA Spegeln,Sunday,1,2,0.5,True,92,0.304635761589404
ICA Spegeln,Tuesday,1,2,0.5,True,109,0.3609271523178808
ICA Spegeln,Thursday,1,2,0.5,True,101,0.3344370860927152
ICA Spånga,Sunday,1,2,0.5,True,83,0.27946127946127947
ICA Spånga,Tuesday,1,2,0.5,True,94,0.3164983164983165
ICA Spånga,Thursday,1,2,0.5,True,120,0.40404040404040403
ICA Stormarknad Botkyrka,Sunday,1,2,0.5,True,146,0.40782122905027934
ICA Stormarknad Botkyrka,Tuesday,1,2,0.5,True,116,0.3240223463687151
ICA Stormarknad Botkyrka,Thursday,1,2,0.5,True,96,0.2681564245810056
ICA Stortorget,Sunday,1,2,0.5,True,39,0.24528301886792453
ICA Stortorget,Tuesday,1,2,0.5,True,67,0.42138364779874216
ICA Stortorget,Thursday,1,2,0.5,True,53,0.3333333333333333
ICA Storvreta,Sunday,1,2,0.5,True,29,0.35365853658536583
ICA Storvreta,Tuesday,1,2,0.5,True,30,0.36585365853658536
ICA Storvreta,Thursday,1,2,0.5,True,23,0.2804878048780488
ICA Strömsbo,Sunday,1,2,0.5,True,39,0.3305084745762712
ICA Strömsbo,Tuesday,1,2,0.5,True,34,0.288135593220339
ICA Strömsbo,Thursday,1,2,0.5,True,45,0.3813559322033898
